Name,Type,Attunement,Price,Source,,,,,,,,,,,,,,,,,,,,,
Shifter's Shine,Potion,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Snake Oil,Potion,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Wispy Sour,Potion,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Dealmaker's Ring,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Doodle Ring,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Pair of Tiny Violin Rings,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of Busy Hands,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of Busy Hands,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of Gestures,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of Names,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of Perching,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of Roses,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of Silverware,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of the Candle Keeper,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of the Distant Digit,Ring,Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of the Fowl Sentinel,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ring of the Printless,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Rings of the Secret Scribe,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Status Signets,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Vial Ring,Ring,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Instigator's Rod,Rod,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Periscope Rod,Rod,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Worker's Wondrous Ladder,Rod,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Scroll of Exclamation,Scroll,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Scroll of Film,Scroll,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Scroll of Instant Cookies,Scroll,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Scroll of Miraculous Mail,Scroll,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Hedgewitch's Gardening Cane,Staff,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Stalwart Staff,Staff,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Borbos Joyous Wand of Color,Wand,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Cherry Blossom Wand,Wand,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Stick of Shaking,Wand,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Wand of Bubbles,Wand,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Wand of Torchlight,Wand,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bird's-Eye Bolt,Weapon (an arrow or bolt),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Fanfare Ammunition,Weapon (an arrow or bolt),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Scarring Axe,Weapon (any axe),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bonfire Blade,Weapon (any sword),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Weapon of Showmanship,Weapon (any),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Torpedo Arrow,Weapon (arrow),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Rope Caster,"Weapon (crossbow, hand)",No,,GSB,,,,,,,,,,,,,,,,,,,,,
Intrepid Knife,Weapon (dagger),Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Leaf Carver,Weapon (dagger),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Hammer of Nails,Weapon (light hammer),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Redsmith Hammer,Weapon (light hammer),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Campers Crutch,Weapon (mace),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Silver Star Cane,Weapon (rapier),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Light Sling,Weapon (sling),No,,GSB,,,,,,,,,,,,,,,,,,,,,
Abjurers Gilder,Wondrous Item,Yes-Wizard,,GSB,,,,,,,,,,,,,,,,,,,,,
Alcoholock,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Amulet of Beginner's Luck,Wondrous item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Aurora Dust,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bag of Bellstones,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Ball of Wild Earth,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bands of the Found and Lost,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bard in a Box,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bell of Alarm,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Belltower Triangle,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Belt of Honesty,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bird of a Feather,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bonfire Candle,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bonfire Charm,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Book of Instant Copying,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Borbos's Marvelous Magic Marker,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bubble Collar,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bubbling Bathbombs,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Bullfrog Totem,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Calling Cans,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Campfire Cord,Wondrous item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Candleflame Helm,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Candy Xorn,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Catnip Amulet,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Cleaning Cube,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Cloak of Looming,Wondrous item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Cloth of Instant Tables,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Companions Band,Wondrous Item,Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Container of Heat and Frost,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Copyquill,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Diorama Die,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Dress of Many Pockets,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Droplet Charm,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Drowner's Pearl,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Dryadleaf,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Electric Torch,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Erasable Quill,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Everlasting Sugarbomb,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Featherwumpus,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Firecracker Crystals,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Forecaster's Cloak,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Fortune's Flower,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Foxfire Charm,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Frefil's Scrummy Trifection,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Freshwater Pitcher,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Gardener's Candle Holder,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Grasping Seedling Necklace,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Grass Carpet,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Gravity Goblet,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Great Owl's Pocket Translator,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Greenthumb Whittler,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Griffon Coinpouch,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Griffon Key Loop,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Hall Decker,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Hat of Osnomnosis,Wondrous Item,Yes-Wizard,,GSB,,,,,,,,,,,,,,,,,,,,,
Headband of the Sweatless,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Heart of the Sleeveless,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
House Slipper Socks,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Immovable Button,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Inker's Armband,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Journal of Dreams,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Leatherbeard,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Living Wig,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Magnificent Pocket Vanity,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Mask of the Crocodile,Wondrous Item,Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Merry Berry,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Mimic's Smilemaker,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Miraculous Bread Box,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Neutralizing Spray,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Oaken Candle,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Orators Quill,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Orb of Remembrance,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Owl Helm,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Owlbear Snugglebeast,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Patch of the Mallard,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Patch of the Open Eye,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Patch of the Pail,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Patch of the Tome,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Performers Puppet,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Permanent Parchment,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Phantom Walkers,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Pipe of Delicious Smells,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Pollen Pipe,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Poltergeist Candle Holder,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Pomade of Ten Thousand Styles,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Pop-Up Business Card,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Portable HEarth,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Profane Mask,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Quicksilver Clay,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Quill of Chicken Scratch,Wondrous item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Radiant Teapot,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Redsmith Carrying Pack,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Redsmith Crucible Set,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Rod of Endless Light,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Rope Cobra,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Rose Quartz Koi,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Seat Belt,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Sentry Candle,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Shapeshifters Circlet,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Shimmering Spectacles,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Shipwright's Watch,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Silver Coin of Duvra,Wondrous Item,Yes,,GSB,,,,,,,,,,,,,,,,,,,,,
Singing Stein,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Sleepytime Sheep Stuffy,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Smash Potatoes,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Snow Rider's Sleigh,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Snowball Mittens,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Spool of Shadow,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Stamp of Shipping,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Starlight Lamp,Wondrous item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Steps of the Trickster,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Storm Seer Lamp,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Storyteller's Stein,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Stylists Circlet,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Tea Weird,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Tear of Gaia,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Tide Turner,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Tote of Tricky Treat Sugarbombs,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Turtle Brooch,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Uorik Juice Cup,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Vial of Snail Slime,Wondrous item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Vineyard Amulet,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Vox Helm,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Walking Pot,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Waterwine Goblet,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Webgrip Rucksack,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Whispergust Mote,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Widemouth Bucket,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Williwig's Time Stopper,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Winner's Trophy,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
Wizards' Bout Top,Wondrous Item,No,,GSB,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Adamantine Armor,Armor,-,B+400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Adamantine Weapon,Weapon,-,B+400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Alchemy Jug,Wondrous Item,-,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Ammunition,Weapon,-,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
Amulet of Proof against Detection and Location,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Arcane Battery,Wondrous Item,-,200 GP,NF,,,,,,,,,,,,,,,,,,,,,
Baba Yaga's Dancing Broom,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Bag of Holding,Wondrous Item,-,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Bag of Tricks,Wondrous Item,-,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Boots of Elvenkind,Wondrous Item,-,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Boots of Striding and Springing,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Boots of the Winding Path,Wondrous Item,Attunement,400 GP,EFotA,,,,,,,,,,,,,,,,,,,,,
Boots of the Winterlands,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Bracers of Archery,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Brooch of Shielding,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Broom of Flying,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Cap of Vanishing,Wondrous Item,Attunement,400 GP,WtHC,,,,,,,,,,,,,,,,,,,,,
Cap of Water Breathing,Wondrous Item,-,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Circlet of Blasting,Wondrous Item,-,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Cloak of Elvenkind,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Cloak of Protection,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Cloak of the Manta Ray,Wondrous Item,Attunement,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Coat of Manty Eyes,Armor,Attunement,B+400 GP,EB,,,,,,,,,,,,,,,,,,,,,
Crawling Gauntlet,Wondrous Item,Attunement,400 GP,EB,,,,,,,,,,,,,,,,,,,,,
Decanter of Endless Water,Wondrous Item,-,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Deck of Illusions,Wondrous Item,-,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Dragonmark Resevoir,Wondrous Item,Attunement,400 GP,EB,,,,,,,,,,,,,,,,,,,,,
Driftglobe,Wondrous Item,-,400 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Dust of Disappearance,Wondrous Item,-,200 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Dust of Dryness,Wondrous Item,-,200 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Dust of Sneezing and Choking,Wondrous Item,-,200 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Elemental Gem,Wondrous Item,-,200 GP,DMG,,,,,,,,,,,,,,,,,,,,,
Enspelled Armor,Armor,Attunement,Varies,DMG,,,,,,,,,,,,,,,,,,,,,
