Name,Type,Attunement,Price,Source,Damage,Description
Astral Sea Piercer (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Astral Sea Piercer is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Axe of Essential Inversion (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Axe of Essential Inversion is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Battleborn Gloves (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Battleborn Gloves is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Belt of Giant Strength (Very Rare),Wondrous Item,Attunement,Varies,DMG,-,"While worn, this belt sets the wearer's Strength to a value determined by the giant type associated with the belt, unless the wearer's Strength is already higher."
Black Hole (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Black Hole is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Blade of the Unbroken Circle (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Blade of the Unbroken Circle is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Blindfold of Judgement (Very Rare),Wondrous Item,Yes-Lawful,"200,000 GP",GSB,-,"Blindfold of Judgement is a very rare magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Blooddrinker (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Blooddrinker is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Bloodmire Soulflame Lantern (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,Fire,"Bloodmire Soulflame Lantern is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Bloodscryer Oculus (Very Rare),Wondrous Item,Yes-Ranger,"200,000 GP",GSB,-,"Bloodscryer Oculus is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Blue Dragon Horn Shield (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Blue Dragon Horn Shield is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Bolide Blade (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Bolide Blade is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Breastplate of Kamvuul Norek (Very Rare),Armor,Attunement,"200,000 GP",EB,-,"Breastplate of Kamvuul Norek is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Call and Response (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Call and Response is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Candelabra Scepter (Very Rare),Rod,Yes-Spellcaster,"200,000 GP",GSB,-,"Candelabra Scepter is a very rare magical rod with a potent activated utility, control, defensive, or combat effect."
Celestial Ambrosia (Very Rare),Potion,No,"100,000 GP",GSB,Radiant,"Celestial Ambrosia is a very rare consumable magic item that produces a powerful temporary restorative, transformative, protective, or spell-like effect when used."
Celestial Bident (Very Rare),Weapon,"Yes-Cleric, Paladin","B+200,000 GP",GSB,Radiant + weapon's normal damage,"Celestial Bident is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Celestial Gate (Very Rare),Wondrous Item,No,"200,000 GP",GSB,Radiant,"Celestial Gate is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Censer Chime (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Censer Chime is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Chillspike (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Chillspike is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Circlet of Resonant Spheres (Very Rare),Wondrous Item,"Yes-Bard, Wizard","200,000 GP",GSB,-,"Circlet of Resonant Spheres is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Cloak of Invisibility (Very Rare),Wondrous Item,Attunement,"200,000 GP",DMG,-,"Pulling up this cloak's hood makes the wearer invisible. The cloak can sustain invisibility for a limited total duration, measured in increments while the hood is up, and regains expended duration after it has not been used for a period of time."
Cloak of the Midwinter Solsticekeeper (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,Cold,"Cloak of the Midwinter Solsticekeeper is a very rare magical garment that grants a powerful protective, concealment, movement, sensory, or transformation effect."
Coldfire Phoenix Draft (Very Rare),Potion,No,"100,000 GP",GSB,Fire + Cold,"Coldfire Phoenix Draft is a very rare consumable magic item that produces a powerful temporary restorative, transformative, protective, or spell-like effect when used."
Corvus Pyre (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Corvus Pyre is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Crown of Calamity (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Crown of Calamity is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Crown of Storms (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Crown of Storms is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Crown of the Cursed King (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Crown of the Cursed King is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Crypt Keeper Glaive (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Crypt Keeper Glaive is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Crystal Ball of Mind Reading (Very Rare),Wondrous Item,Attunement,"200,000 GP",DMG,-,"This crystal ball functions as a powerful scrying focus. While observing a creature through it, the user can also employ mind-reading magic against that creature."
Crystal Ball of Storms (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Crystal Ball of Storms is a very rare magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Crystal Ball of Telepathy (Very Rare),Wondrous Item,Attunement,"200,000 GP",DMG,-,This crystal ball functions as a scrying focus and additionally allows telepathic communication with a creature being observed through it.
Crystal Ball of True Seeing (Very Rare),Wondrous Item,Attunement,"200,000 GP",DMG,-,This crystal ball functions as a scrying focus and grants truesight while the user looks through it.
Cubic Gate (Very Rare),Wondrous Item,-,"200,000 GP",DMG,-,Each face of this cube is keyed to a plane. Spending charges can open a gate to the plane linked to a selected face or banish nearby creatures to their native planes; the cube regains expended charges.
Cursive (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Cursive is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Cymrith (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Cymrith is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Davy Jones' Key (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Davy Jones' Key is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Death's Shadow (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,Necrotic,"Death's Shadow is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Deck of Many Things (Very Rare),Wondrous Item,-,"200,000 GP",DMG,Varies,"This legendary deck produces powerful, unpredictable effects when cards are deliberately drawn. Results range from major rewards and permanent boons to imprisonment, loss of possessions, hostile creatures, or other campaign-changing consequences."
Defender (Very Rare),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,This +3 magic sword lets its wielder transfer some or all of the weapon's enhancement bonus from attack and damage rolls to Armor Class until the start of the wielder's next turn.
Dragon Queen's Cloak (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Dragon Queen's Cloak is a very rare magical garment that grants a powerful protective, concealment, movement, sensory, or transformation effect."
Dragon Tamer Lance (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Dragon Tamer Lance is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Dragon-kindled Edge (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Dragon-kindled Edge is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Dragonkin Weapon (Very Rare),Weapon,Yes-Dragonborn,"B+200,000 GP",GSB,Weapon's normal damage,"Dragonkin Weapon is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Dragonscale Whetstone (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Dragonscale Whetstone is a very rare magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Dragonwing Scimitars (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Dragonwing Scimitars is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Drift Bangles (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Drift Bangles is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Drift Bangles (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Drift Bangles is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Efreeti Bangles (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Efreeti Bangles is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Efreeti Chain (Very Rare),Armor,Attunement,"B+200,000 GP",DMG,-,"This +3 chain mail grants immunity to fire damage, lets the wearer understand and speak Primordial, and allows the wearer to move safely across molten rock as though it were solid ground."
Emberheart Hammer (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Fire + weapon's normal damage,"Emberheart Hammer is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Enspelled Armor (Very Rare),Armor,Attunement,Varies,DMG,Varies,"This magic armor stores a specific spell. While wearing it, the attuned user can expend one of the armor's charges to cast that spell using the item's fixed spellcasting parameters; expended charges return after a long rest or at dawn, depending on the version."
Enspelled Staff (Very Rare),Staff,Attunement,Varies,DMG,Weapon's normal damage / varies,This magic staff stores a specific spell. An attuned wielder can expend charges to cast the stored spell using the staff's fixed spellcasting parameters; it also functions as a magic staff weapon.
Enspelled Weapon (Very Rare),Weapon,Attunement,Varies,DMG,Weapon's normal damage / varies,This magic weapon stores a specific spell. An attuned wielder can expend charges to cast that spell using the item's fixed spellcasting parameters while retaining the weapon's normal combat properties.
Eternal Slayer (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Eternal Slayer is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Eye of Iron Sight (Very Rare),Wondrous Item,Yes-Missing an Eye,"200,000 GP",GSB,-,"Eye of Iron Sight is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Fell-Rider Chariot (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Fell-Rider Chariot is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Festerwoods Light (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Festerwoods Light is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Fists of Fury (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Fists of Fury is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Forgemasters Might (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Forgemasters Might is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Form of Order (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Form of Order is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Fūjin Reactor (Very Rare),Rod,Yes-Spellcaster,"200,000 GP",GSB,-,"Fūjin Reactor is a very rare magical rod with a potent activated utility, control, defensive, or combat effect."
Gladius of the Everfighter (Very Rare),Weapon,Yes-Fighter,"B+200,000 GP",GSB,Weapon's normal damage,"Gladius of the Everfighter is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Glaive of the Revenant King (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Glaive of the Revenant King is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Godsteel Barrier (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Godsteel Barrier is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Godsteel Wargauntlets (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Godsteel Wargauntlets is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Godsteel Warplate (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Godsteel Warplate is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Godsteel Worldcarver (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Godsteel Worldcarver is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Gorget of the Holy Soldier (Very Rare),Wondrous Item,Yes-Good Aligned,"200,000 GP",GSB,Radiant,"Gorget of the Holy Soldier is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Grasp of Gravity (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Grasp of Gravity is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Guardian's Reliquary (Very Rare),Wondrous Item,Yes-Missing an Arm,"200,000 GP",GSB,-,"Guardian's Reliquary is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
H'rethi Desperation (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"H'rethi Desperation is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Hag's Claw (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Hag's Claw is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Hailstorm Bow (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Hailstorm Bow is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Half Plate of the Blind Martyr (Very Rare),Armor,Yes-Cleric,"B+200,000 GP",GSB,-,"Half Plate of the Blind Martyr is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Hammer of Thunderbolts (Very Rare),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This magic maul grants a bonus to attack and damage rolls. When used together with gauntlets of ogre power and a belt of giant strength, it can unlock stronger abilities, including increased Strength and a thrown thunderous attack that can stun creatures."
Heart of Damned Intervention (Very Rare),Wondrous Item,"Yes-Cleric, Paladin","200,000 GP",GSB,-,"Heart of Damned Intervention is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Heaven's Edge (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Heaven's Edge is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Heavens Gavel (Very Rare),Weapon,Yes-Good Aligned,"B+200,000 GP",GSB,Weapon's normal damage,"Heavens Gavel is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Helios Spear (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Helios Spear is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Helm of the Dawn Guardian (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Helm of the Dawn Guardian is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Helm of the Justicars (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Helm of the Justicars is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Hide of the Wild Guardian (Very Rare),Wondrous Item,Yes-Druid,"200,000 GP",GSB,-,"Hide of the Wild Guardian is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Holy Avenger (Very Rare),Wondrous Item,Attunement,"B+200,000 GP",DMG,Weapon's normal damage + radiant,"This +3 magic weapon deals extra radiant damage to fiends and undead. In the hands of a paladin, it also projects an aura that grants allies strong protection against spells and magical effects."
Horn of Valhalla (Very Rare),Wondrous Item,-,Varies,DMG,Weapon damage from summoned warriors,"Blowing this horn summons spectral berserk warriors that fight for the user for a limited time. The number and requirements depend on the horn's material, and the horn cannot be used again for several days."
Houseward (Very Rare),Wondrous Item,-,"100,000 GP",EB,-,"Houseward is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Hrathi Soul Scepter (Very Rare),Rod,Yes-Spellcaster,"200,000 GP",GSB,-,"Hrathi Soul Scepter is a very rare magical rod with a potent activated utility, control, defensive, or combat effect."
Indigo Stray's Conviction (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Indigo Stray's Conviction is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Infernal Chess Set (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Infernal Chess Set is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Infernal Enforcer (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Force + weapon's normal damage,"Infernal Enforcer is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Instrument of the Bards (Very Rare),Wondrous Item,Attunement,Varies,DMG,Varies,"This magical instrument can cast a set of spells, with additional spells determined by the instrument's type. A bard attuned to it also makes charm effects created by spells cast through the instrument harder to resist."
Ioun Stone (Very Rare),Wondrous Item,Attunement,Varies,DMG,Varies,"When released, this magic stone orbits the user's head and grants a benefit determined by its type. The stone can be attacked or grabbed while orbiting and can be suppressed by certain magic."
Iron Flask (Very Rare),Wondrous Item,-,"200,000 GP",DMG,Varies,"This iron bottle can imprison an extraplanar creature that fails a saving throw. Opening the flask releases the captive, and the creature may obey the opener for a limited time depending on how it was captured."
Life Turner (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Life Turner is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Life's Edge (Very Rare),Weapon,Yes-Paladin,"B+200,000 GP",GSB,Weapon's normal damage,"Life's Edge is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Lightseer's Gaze (Very Rare),Wondrous Item,Yes-Monk,"200,000 GP",GSB,-,"Lightseer's Gaze is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Loves Embrace (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Loves Embrace is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Luck Blade (Very Rare),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This magic sword grants a bonus to attack and damage rolls and gives its bearer a bonus to saving throws. It also has a limited luck ability that can reroll an attack roll, ability check, or saving throw, and some luck blades contain charges of wish."
Mage Eater Scythe (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Mage Eater Scythe is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Mark of the Everglacier Monarch (Very Rare),Wondrous Item,Yes-Spellcaster,"200,000 GP",GSB,Cold,"Mark of the Everglacier Monarch is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Mask of the Jackal (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Mask of the Jackal is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Mask of the Planeseeker (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Mask of the Planeseeker is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Mastery Gem (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Mastery Gem is a very rare magical focus or object that stores, reveals, enhances, or releases a powerful supernatural effect."
Memento of the Shapeless (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Memento of the Shapeless is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Meta Mantle (Very Rare),Wondrous Item,Yes-Sorcerer,"200,000 GP",GSB,-,"Meta Mantle is a very rare magical garment that grants a powerful protective, concealment, movement, sensory, or transformation effect."
Mirrored Ball of Brag'inir (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Mirrored Ball of Brag'inir is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Mister Bottle (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Mister Bottle is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Moonblade (Very Rare),Weapon,Attunement,"B+200,000 GP",DMG,Weapon's normal damage,"This hereditary elven longsword bonds only to a worthy heir. Each rune on the blade represents a former bearer and grants a property; its powers can include enhancement bonuses, extra damage, defensive traits, or other magic, and the blade is sentient."
Moonfallen Bow (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Moonfallen Bow is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
"Morath, Scepter of the Soul Vortex (Very Rare)",Rod,Yes-Spellcaster,"200,000 GP",GSB,-,"Morath, Scepter of the Soul Vortex is a very rare magical rod with a potent activated utility, control, defensive, or combat effect."
Mostly Invisible Wand (Very Rare),Wand,No,"200,000 GP",GSB,-,Mostly Invisible Wand is a very rare magical wand with charges or limited uses that produce a powerful spell-like or supernatural effect.
Mourningsteel Half Plate (Very Rare),Armor,Yes,"B+200,000 GP",GSB,-,"Mourningsteel Half Plate is a very rare magical defensive item with powerful protective, reactive, movement, or environmental properties associated with its enchantment."
Myceliaweave Circlet (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Myceliaweave Circlet is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Navis Anima (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Navis Anima is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Octavius' Saber (Very Rare),Weapon,Yes-Rogue,"B+200,000 GP",GSB,Weapon's normal damage,"Octavius' Saber is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Orange Cicatrizer's Debt (Very Rare),Wondrous Item,Yes-Wis 17,"200,000 GP",GSB,-,"Orange Cicatrizer's Debt is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Pact Card (Very Rare),Wondrous Item,No,"200,000 GP",GSB,-,"Pact Card is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Pauldron of the Lost Legion (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Pauldron of the Lost Legion is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Pike of the Forgotten Legion (Very Rare),Weapon,Yes,"B+200,000 GP",GSB,Weapon's normal damage,"Pike of the Forgotten Legion is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Plate Armor of Etherealness (Very Rare),Armor,Attunement,"B+200,000 GP",DMG,-,"While wearing this +3 plate armor, the wearer can use its limited daily magic to enter the Ethereal Plane for a short duration, returning when the effect ends."
Potion of Giant Strength (Very Rare),Potion,-,Varies,DMG,-,"Drinking this potion sets the drinker's Strength to a value based on the giant type associated with the potion for 1 hour, unless the drinker's Strength is already higher."
Primordial Earth Heart (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Primordial Earth Heart is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
Purity Spear (Very Rare),Weapon,Yes-Good Aligned,"B+200,000 GP",GSB,Weapon's normal damage,"Purity Spear is a very rare magical weapon with potent combat properties, such as enhanced attacks, additional damage, special conditions, or limited activated abilities."
Puzzle Ring (Very Rare),Ring,Yes-Paladin,"200,000 GP",GSB,-,Puzzle Ring is a very rare magical ring that grants a powerful passive benefit or limited supernatural ability while worn.
Quiver of Elemental Chaos (Very Rare),Wondrous Item,Yes,"200,000 GP",GSB,-,"Quiver of Elemental Chaos is a very rare magical wondrous item with powerful utility, defensive, movement, control, or combat-related supernatural properties."
